TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
27.63707,1.687109,1.687109,0.3098145,0.1023736,3.828523,0.0560248,0.009190087,0.003514184,0.7916136,0.00557401,3.516914,-0.2773439,0.005278453,3.549126,0.1130638,0.1264481,1.069443,0.3033492,0.1023553,3.803912,0,0,0,0,0,,0,initialization,1.997863,0.004686413
27.66169,1.69372,1.69372,0.3105278,0.102579,3.831196,0.03290996,0.01025722,0.005329729,0.7917795,0.005478978,3.519246,-0.2769588,0.005405113,3.551535,0.118716,0.1276661,1.069226,0.3041344,0.1023775,3.806958,0,0,0,0,0,,0,initialization,1.997588,0.004704778
27.68682,1.717257,1.717257,0.3112206,0.1024821,3.833788,0.019604,0.007926377,0.001773161,0.7919757,0.005277783,3.521881,-0.2765559,0.005490027,3.554032,0.1252537,0.1342659,1.069015,0.3048974,0.102398,3.80989,0,0,0,0,0,,0,initialization,1.997335,0.004770159
27.71172,1.723826,1.723826,0.3117761,0.102354,3.836377,0.0204083,0.0113174,0.003603708,0.79216,0.004953548,3.524438,-0.2760988,0.005485833,3.556935,0.1256317,0.14213,1.068753,0.3056734,0.102414,3.812859,0,0,0,0,0,,0,initialization,1.997088,0.004788405
27.73671,1.782169,1.782169,0.3135445,0.1020167,3.841871,0.0112845,0.008519731,0.003268297,0.7925261,0.0048251,3.529695,-0.2752007,0.005142592,3.562636,0.1274019,0.144921,1.068235,0.3064564,0.1024182,3.815851,0,0,0,0,0,,0,initialization,1.996895,0.00495047
27.76167,1.806669,1.806669,0.3142658,0.1019725,3.844383,0.02002365,0.01394055,0.00278403,0.7926886,0.00475128,3.531898,-0.27477,0.004896939,3.565406,0.1133807,0.1376714,1.067984,0.3072485,0.1024044,3.818838,0,0,0,0,0,,0,initialization,1.996723,0.005018526
27.78682,1.823639,1.823639,0.3147067,0.1020935,3.846464,0.0464804,0.0137648,0.005097922,0.7928581,0.005003229,3.534015,-0.2743774,0.004893795,3.567994,0.1112892,0.1289895,1.067776,0.3080678,0.102376,3.821888,0,0,0,0,0,,0,initialization,1.996568,0.005065663
27.8121,1.84771,1.84771,0.3153206,0.1022643,3.84876,0.03008532,0.01627597,0.004195451,0.7930104,0.005224302,3.535873,-0.2739872,0.004864484,3.570602,0.1059846,0.1300268,1.067563,0.3088831,0.1023463,3.824912,0,0,0,0,0,,0,initialization,1.996434,0.005132529
27.83704,1.875685,1.875685,0.3166476,0.1022295,3.853455,0.08923322,0.007520946,0.0002443353,0.793342,0.005507946,3.540127,-0.273175,0.004949108,3.575842,0.112838,0.1255175,1.067115,0.3097091,0.1023253,3.827969,0,0,0,0,0,,0,initialization,1.996326,0.005210236
27.86183,1.874522,1.874522,0.316972,0.102504,3.855566,0.03238427,0.007245352,0.006043519,0.793525,0.005543582,3.542461,-0.2728016,0.005179144,3.578157,0.1162725,0.1216789,1.066924,0.3105356,0.1023116,3.831014,0,0,0,0,0,,0,initialization,1.996216,0.005207005
27.88702,1.881684,1.881684,0.3176876,0.1026365,3.858328,0.01866366,0.006019274,0.002050602,0.7937105,0.005522273,3.544765,-0.2724478,0.005376346,3.580328,0.1205431,0.124787,1.066751,0.311343,0.1023069,3.834008,0,0,0,0,0,,0,initialization,1.996114,0.0052269
