Timestamp,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,Speed,AngularSpeed,DistanceFromStart,TotalDistance
9.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.255,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.355,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.464,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.572,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.680,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.788,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320
9.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.888,-0.053,0.003,0.307,1.001,326.407,0.223,0.000,0.000,0.000,0.000,0.000,0.311,0.320

Session Summary:
Duration: 9.9 seconds
Total Samples: 92
Total Distance: 0.32 meters
Average Speed: 0.03 m/s
Start Position: (0.0, 0.0, 0.0)
End Position: (-0.1, 0.0, 0.3)

Session Summary:
Duration: 9.9 seconds
Total Samples: 92
Total Distance: 0.00 meters
Average Speed: 0.00 m/s
Start Position: (0.0, 0.0, 0.0)
End Position: (0.0, 0.0, 0.0)
